OCCP - 4 Digit Level,total_working_16
"Personal Assistants and Secretaries, nfd",103
Personal Assistants,52576
Secretaries,43146
"General Clerical Workers, nfd",590
General Clerks,219845
Keyboard Operators,47655
"Inquiry Clerks and Receptionists, nfd",459
"Call or Contact Centre Information Clerks, nfd",464
Call or Contact Centre Workers,31116
Information Officers,54980
Receptionists,154775
"Numerical Clerks, nfd",972
"Accounting Clerks and Bookkeepers, nfd",394
Accounting Clerks,103638
Bookkeepers,79231
Payroll Clerks,25267
"Financial and Insurance Clerks, nfd",677
Bank Workers,48034
Credit and Loans Officers (Aus) / Finance Clerks (NZ),25704
"Insurance, Money Market and Statistical Clerks",25801
"Clerical and Office Support Workers, nfd",326
Betting Clerks,1866
Couriers and Postal Deliverers,36147
Filing and Registry Clerks,12271
Mail Sorters,10152
Survey Interviewers,2631
Switchboard Operators,3258
Other Clerical and Office Support Workers,10951
"Other Clerical and Administrative Workers, nfd",178
"Logistics Clerks, nfd",2597
Purchasing and Supply Logistics Clerks,67394
Transport and Despatch Clerks,28053
"Miscellaneous Clerical and Administrative Workers, nfd",264
Conveyancers and Legal Executives,12749
Court and Legal Clerks,12358
Debt Collectors,7454
Human Resource Clerks,10590
Inspectors and Regulatory Officers,33560
"Insurance Investigators, Loss Adjusters and Risk Surveyors",4381
Library Assistants,6710
Other Miscellaneous Clerical and Administrative Workers,20476
"Sales Workers, nfd",2462
"Sales Representatives and Agents, nfd",414
"Insurance Agents and Sales Representatives, nfd",18
"Auctioneers, and Stock and Station Agents",2712
Insurance Agents,10639
Sales Representatives,87263
Real Estate Sales Agents,78984
"Sales Assistants and Salespersons, nfd",6191
Sales Assistants (General),526013
ICT Sales Assistants,12692
Motor Vehicle and Vehicle Parts Salespersons,33338
Pharmacy Sales Assistants,33158
Retail Supervisors,27527
Service Station Attendants,10257
Street Vendors and Related Salespersons,6796
Other Sales Assistants and Salespersons,11716
"Sales Support Workers, nfd",128
Checkout Operators and Office Cashiers,102803
"Miscellaneous Sales Support Workers, nfd",119
Models and Sales Demonstrators,10400
Retail and Wool Buyers,4318
Telemarketers,6870
Ticket Salespersons,16036
Visual Merchandisers,4706
Other Sales Support Workers,5407
"Machinery Operators and Drivers, nfd",11815
"Machine and Stationary Plant Operators, nfd",3019
"Machine Operators, nfd",22786
"Clay, Concrete, Glass and Stone Processing Machine Operators",2736
Industrial Spraypainters,4693
Paper and Wood Processing Machine Operators,5544
Photographic Developers and Printers,1184
Plastics and Rubber Production Machine Operators,6536
Sewing Machinists,8132
Textile and Footwear Production Machine Operators,1871
Other Machine Operators,11408
"Stationary Plant Operators, nfd",995
"Crane, Hoist and Lift Operators",10162
"Drillers, Miners and Shot Firers",41343
Engineering Production Workers,16538
Other Stationary Plant Operators,19197
"Mobile Plant Operators, nfd",4997
"Agricultural, Forestry and Horticultural Plant Operators",9596
Earthmoving Plant Operators,33013
Forklift Drivers,48902
Other Mobile Plant Operators,9269
"Road and Rail Drivers, nfd",11256
"Automobile, Bus and Rail Drivers, nfd",401
Automobile Drivers,38151
Bus and Coach Drivers,37414
Train and Tram Drivers,11320
Delivery Drivers,41040
Truck Drivers,148566
Storepersons,108209
"Labourers, nfd",23115
"Cleaners and Laundry Workers, nfd",19649
Car Detailers,14644
Commercial Cleaners,126153
Domestic Cleaners,36567
Housekeepers,31822
Laundry Workers,13476
Other Cleaners,10773
"Construction and Mining Labourers, nfd",2172
Building and Plumbing Labourers,46202
Concreters,27562
Fencers,8621
Insulation and Home Improvement Installers,15560
Paving and Surfacing Labourers,6026
Railway Track Workers,4114
Structural Steel Construction Workers,20256
Other Construction and Mining Labourers,6020
"Factory Process Workers, nfd",10461
"Food Process Workers, nfd",729
Food and Drink Factory Workers,28934
"Meat Boners and Slicers, and Slaughterers",8794
